index,similarity,path,time,souffle_time,neo4j_time,sim_time,gen_time,automaton_time
amalgam1_to_amalgam3-weighted_distance-2,"[1, 1, 1, 1, 1]","[24, 24, 24, 24, 24]","[122.672147263, 123.26856592, 123.429222289, 124.061881751, 124.484080321]","[0.000771797, 0.000875955, 0.00081779, 0.000773917, 0.000790858]","[0.35254937, 0.319153492, 0.351384198, 0.32420798, 0.365941126]","[113.748220296, 114.264071535, 114.417586574, 114.889758865, 115.20093487]","[6.537879327, 6.617160499, 6.600852689, 6.747342752, 6.835837109]","[0.000388097, 0.000394924, 0.000426277, 0.000406078, 0.00040943]"
amalgam1_to_amalgam3-weighted_distance-4,"[1, 1, 1, 1, 1]","[24, 24, 24, 24, 24]","[125.291448878, 125.223429454, 125.098743213, 125.178434277, 124.732596771]","[0.000826784, 0.000827263, 0.000834961, 0.000832671, 0.000837883]","[0.834368654, 0.772525382, 0.771175911, 0.754880206, 0.790881214]","[115.480808702, 115.518641673, 115.507438867, 115.545568596, 115.062975704]","[6.768900716, 6.787159462, 6.732950487, 6.770273532, 6.747220121]","[0.000490003, 0.000450563, 0.000442277, 0.000458219, 0.000447221]"
amalgam1_to_amalgam3-weighted_distance-8,"[0.9547681869581606, 0.9547681869581606, 0.9547681869581606, 0.9547681869581606, 0.9547681869581606]","[22, 22, 22, 22, 22]","[125.680009248, 125.327541013, 124.538293981, 126.048278611, 125.663178202]","[0.000841347, 0.000837813, 0.000836632, 0.000838907, 0.000831379]","[1.045852319, 1.033385034, 1.021980047, 1.058701075, 1.029220761]","[115.606193004, 115.36158379, 114.394703063, 115.956284177, 115.761752256]","[6.884729495, 6.801411852, 6.97917872, 6.875020777, 6.753214314]","[0.00045822, 0.000619281, 0.000453977, 0.000451413, 0.00046971]"
amalgam1_to_amalgam3-weighted_distance-16,"[0.9547681869581606, 0.9547681869581606, 0.9547681869581606, 0.9547681869581606, 0.9547681869581606]","[22, 22, 22, 22, 22]","[127.790635402, 126.99719297, 126.556576352, 125.484316653, 126.486930894]","[0.000835024, 0.000858243, 0.000853355, 0.000833724, 0.000847901]","[1.405271497, 1.385556229, 1.369139357, 1.3522443499999999, 1.350472378]","[117.076179214, 116.408097537, 116.129086029, 114.914800246, 116.007687622]","[7.078240621, 7.037353443, 6.940079638, 7.04399319, 6.961684388]","[0.000458751, 0.000483833, 0.000476243, 0.000467664, 0.00051071]"
amalgam1_to_amalgam3-greedy-1,"[1, 1, 1, 1, 1]","[24, 24, 24, 24, 24]","[124.487456851, 123.78107549, 123.799313768, 123.946484592, 124.206570359]","[0.000753071, 0.000739421, 0.000736101, 0.000730508, 0.000752579]","[0.220985584, 0.162440943, 0.178446654, 0.173313648, 0.167197161]","[115.472936282, 114.834136128, 114.953209421, 115.010203417, 115.275992717]","[6.631245239, 6.691233112, 6.5840378059999995, 6.675412808, 6.646547009]","[0.0003884, 0.000368641, 0.00037065, 0.000387339, 0.00036861]"
amalgam1_to_amalgam3-greedy-2,"[1, 1, 1, 1, 1]","[24, 24, 24, 24, 24]","[124.632590011, 124.422321283, 124.106838421, 124.059889099, 124.547099298]","[0.00074618, 0.00072447, 0.00073487, 0.000747931, 0.00073673]","[0.272690178, 0.251770416, 0.254617998, 0.280602293, 0.239157215]","[115.608758565, 115.329665332, 114.961085564, 115.018296364, 115.445234066]","[6.6722063590000005, 6.760425696, 6.746556862, 6.678947951, 6.762411292]","[0.00037633, 0.0003755, 0.000382071, 0.000370411, 0.000371801]"
amalgam1_to_amalgam3-greedy-4,"[1, 1, 1, 1, 1]","[24, 24, 24, 24, 24]","[125.287320336, 126.22045128, 124.068708614, 124.189423099, 124.228618358]","[0.000747141, 0.000766585, 0.000754692, 0.000758403, 0.000788152]","[0.427294799, 0.396926411, 0.35892367, 0.402008523, 0.394595144]","[115.968693393, 116.921697367, 114.984757418, 114.939793247, 114.977809974]","[6.74396235, 6.746581438, 6.657410012, 6.734057033, 6.754312756]","[0.000380191, 0.000438952, 0.000375752, 0.000366801, 0.00039929]"
amalgam1_to_amalgam3-greedy-8,"[1, 1, 1, 1, 1]","[24, 24, 24, 24, 24]","[124.396941423, 125.265469895, 125.68863294, 125.903398096, 125.667785573]","[0.000733862, 0.000759192, 0.000735032, 0.000812341, 0.000752624]","[0.562925517, 0.554440969, 0.566577918, 0.574021015, 0.571305734]","[114.968062911, 115.690341436, 115.942347809, 116.248328907, 115.988256806]","[6.787563974, 6.893570619, 7.03827117, 6.900017923, 6.970385457]","[0.000439942, 0.000382451, 0.00037515, 0.000389621, 0.000381073]"
amalgam1_to_amalgam3-greedy-16,"[1, 1, 1, 1, 1]","[24, 24, 24, 24, 24]","[126.353584063, 126.229752563, 126.20917723, 127.092426255, 126.182096907]","[0.000734643, 0.000769442, 0.000727782, 0.000743542, 0.000775432]","[0.938488336, 0.906498351, 0.883151388, 0.885046752, 0.887028171]","[116.157191755, 116.186601522, 116.078876754, 116.972178034, 116.100567682]","[7.071073389, 6.984334674, 7.09219618, 7.085291099, 7.036080074]","[0.000380421, 0.000378572, 0.000376021, 0.000369252, 0.00042605]"
flighthotel-naive-1,"[1, 1, 1, 1, 1]","[16, 16, 16, 16, 16]","[0.598675148, 0.404067056, 0.375670073, 0.317486284, 0.356747551]","[0.00026183, 0.000236231, 0.000232212, 0.0002137, 0.00021901]","[0.492651263, 0.353428577, 0.324740841, 0.266859181, 0.301262558]","[0.004099508, 0.003864787, 0.003729806, 0.003819963, 0.003903488]","[0.002125623, 0.001983775, 0.001975806, 0.001864372, 0.001943496]","[0.000544142, 0.000500432, 0.000500362, 0.000468551, 0.000496771]"
flighthotel-naive-2,"[1, 1, 1, 1, 1]","[16, 16, 16, 16, 16]","[8.680650425, 7.185765483, 6.890849815, 6.977359192, 6.544257656]","[0.002731246, 0.002742879, 0.002806142, 0.002792012, 0.00272431]","[8.439977596, 7.080303166, 6.720436645, 6.875442589, 6.4435834849999996]","[0.107306825, 0.106314992, 0.105854508, 0.106579206, 0.106310539]","[0.033139776, 0.032868466, 0.033299337, 0.033648489, 0.03301479]","[0.006306791, 0.00652481, 0.006417678, 0.006443682, 0.006384895]"
flighthotel-naive-4,"[1, 1, 1, 1, 1]","[16, 16, 16, 16, 16]","[141.131765477, 138.459575865, 136.095827372, 135.744376813, 138.155527877]","[0.017066939, 0.016553699, 0.01694137, 0.016289325, 0.016510697]","[68.005372549, 65.378749248, 63.808567309, 63.37831549, 64.661436985]","[0.916388148, 0.893863221, 0.910294417, 0.886745856, 0.892401541]","[0.281863379, 0.270475406, 0.278041217, 0.265357741, 0.266978849]","[0.050134645, 0.04939439, 0.050962993, 0.049306722, 0.048554935]"
flighthotel-naive-8,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
flighthotel-naive-16,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
flighthotel-random-1,"[1, 1, 1, 1, 1]","[16, 16, 16, 16, 16]","[0.495422338, 0.332871995, 0.31997245, 0.313170651, 0.319722738]","[0.00025267, 0.00024138, 0.00021216, 0.000199271, 0.0002449]","[0.379103832, 0.278123837, 0.267457607, 0.25835079, 0.262296271]","[0.004370102, 0.004615935, 0.004506893, 0.004019552, 0.004768363]","[0.002184216, 0.002175036, 0.002052845, 0.001857615, 0.002263134]","[0.000557893, 0.000585203, 0.000539972, 0.00049467, 0.000570331]"
