index,similarity,path,time,souffle_time,neo4j_time,sim_time,gen_time,automaton_time,num_dup,num_tot
amalgam1_to_amalgam3-greedy-0.9,"[0.925, 0.925, 0.925, 0.925, 0.925]","[18, 18, 18, 18, 18]","[214.310685923, 209.682454146, 209.784537709, 215.890154126, 215.262044981]","[0.000711972, 0.000688053, 0.000777092, 0.000716031, 0.001116278]","[0.355419994, 0.352076198, 0.353499245, 0.359987658, 0.360192329]","[203.973137159, 199.493601692, 199.55866300899999, 205.490682888, 204.88114599]","[7.84321418, 7.730337771, 7.757238589, 7.852251141, 7.892216929]","[0.000370641, 0.000367411, 0.0003705, 0.00037243, 0.000597789]","[7, 7, 7, 7, 7]","[16, 16, 16, 16, 16]"
amalgam1_to_amalgam3-greedy-1.0,"[1, 1, 1, 1, 1]","[24, 24, 24, 24, 24]","[213.719530073, 212.666851693, 217.952719317, 219.634116541, 214.856677649]","[0.000747423, 0.000737043, 0.000737493, 0.000730591, 0.000740279]","[0.543272915, 0.522003011, 0.517408122, 0.54033015, 0.516281741]","[203.123043772, 202.197263157, 207.33013058, 208.885679199, 204.365962687]","[7.893882622, 7.7857523539999995, 7.912284378, 7.997793035, 7.841342152]","[0.000427501, 0.000479292, 0.000408331, 0.000410701, 0.000415589]","[11, 11, 11, 11, 11]","[24, 24, 24, 24, 24]"
amalgam1_to_amalgam3-random-0.5,"[0.925, 0.925, 0.925, 0.925, 0.925]","[18, 18, 18, 18, 18]","[214.616939227, 210.540100046, 216.810408067, 216.218267794, 219.735364067]","[0.000719952, 0.000698374, 0.000716654, 0.000694624, 0.000686895]","[0.352900072, 1.627544323, 0.695138934, 0.596529495, 0.553525297]","[204.378161449, 198.889699247, 206.104991707, 205.709890571, 209.114397669]","[7.743939593, 7.725810744, 7.896747091, 7.767271248, 7.896805518]","[0.000360831, 0.000438423, 0.000371552, 0.000359351, 0.000372033]","[7, 7, 7, 7, 7]","[16, 16, 16, 16, 16]"
amalgam1_to_amalgam3-random-0.7,"[0.925, 0.925, 0.925, 0.925, 0.925]","[18, 18, 18, 18, 18]","[218.842638953, 209.435380483, 216.142635702, 217.008769753, 219.741325425]","[0.000702124, 0.000689217, 0.000688258, 0.000695149, 0.000705302]","[0.544942392, 0.546564467, 0.513507694, 0.524768713, 0.503345228]","[208.265247049, 199.044102413, 205.585509903, 206.365757005, 209.15822889]","[7.871418093, 7.754962428, 7.883747801, 7.942078031, 7.912680082]","[0.000355092, 0.000361173, 0.000365905, 0.000375405, 0.000381072]","[7, 7, 7, 7, 7]","[16, 16, 16, 16, 16]"
amalgam1_to_amalgam3-random-0.9,"[0.925, 0.925, 0.925, 0.925, 0.925]","[18, 18, 18, 18, 18]","[209.347172226, 215.349002776, 214.987913614, 211.215518811, 209.381201268]","[0.000686585, 0.000703366, 0.000696373, 0.00069585, 0.000715393]","[0.476191926, 0.482325259, 0.474238277, 0.501379678, 0.471642629]","[199.045930993, 205.027260092, 204.736331729, 200.933424584, 199.020820753]","[7.76415842, 7.702231033, 7.67535965, 7.711799401, 7.805761677]","[0.000375684, 0.000358987, 0.000365806, 0.00036782, 0.000365642]","[7, 7, 7, 7, 7]","[16, 16, 16, 16, 16]"
amalgam1_to_amalgam3-random-1.0,"[0.98, 0.975, 0.935, 0.98, 0.99]","[22, 22, 22, 23, 23]","[218.196426883, 216.984965908, 210.689940116, 217.878027052, 215.177070642]","[0.000957549, 0.000816857, 0.000834822, 0.000897127, 0.000990547]","[1.491335331, 1.003722202, 1.262156629, 1.35025356, 1.646164239]","[206.481409157, 205.936647456, 199.620882018, 206.524557118, 203.769798084]","[7.822031025, 7.844663599, 7.687489393, 7.815641793, 7.593679095]","[0.000599806, 0.000473709, 0.000515695, 0.000579719, 0.000637282]","[23, 17, 22, 25, 30]","[48, 36, 46, 52, 62]"
amalgam1_to_amalgam3-weighted_distance-0.5,"[0.925, 0.925, 0.925, 0.925, 0.925]","[18, 18, 18, 18, 18]","[218.581273445, 216.156095278, 218.728006424, 214.346583228, 216.949053129]","[0.000800068, 0.000758872, 0.000695296, 0.000679894, 0.000679437]","[0.424886576, 0.419121693, 0.426122251, 0.420281126, 1.726315222]","[208.188967011, 205.912943098, 208.396290395, 204.055604303, 204.96655911]","[7.807425103, 7.702013044, 7.794168914, 7.758373942, 7.90834401]","[0.000364039, 0.000365097, 0.000360793, 0.000366423, 0.000436425]","[7, 7, 7, 7, 7]","[16, 16, 16, 16, 16]"
amalgam1_to_amalgam3-weighted_distance-0.7,"[0.925, 0.925, 0.925, 0.925, 0.925]","[18, 18, 18, 18, 18]","[215.697576788, 212.42593241, 211.21352651, 208.362782555, 214.863147925]","[0.00068416, 0.000690936, 0.000716701, 0.000684051, 0.000690578]","[0.718498562, 0.638639665, 0.574059216, 0.547366665, 0.528550664]","[204.993949557, 201.75994347, 200.708868337, 197.961101125, 204.367573101]","[7.809058254, 7.857537895, 7.818501675, 7.745824087, 7.798026002]","[0.000358468, 0.000371308, 0.000410657, 0.000362352, 0.000365834]","[7, 7, 7, 7, 7]","[16, 16, 16, 16, 16]"
amalgam1_to_amalgam3-weighted_distance-0.9,"[0.925, 0.925, 0.925, 0.925, 0.925]","[18, 18, 18, 18, 18]","[219.575659363, 214.882734025, 220.753832067, 223.505555875, 227.776327644]","[0.00069536, 0.000694865, 0.000692704, 0.000726322, 0.000725975]","[0.547596771, 0.539367187, 0.550270351, 0.528404521, 0.522829616]","[208.642850358, 203.770232491, 209.23056702, 212.104475311, 216.021279634]","[8.100583628, 8.282947023, 8.592112959, 8.503725017, 8.744283553]","[0.000371235, 0.000364732, 0.0003713, 0.000368521, 0.000426482]","[7, 7, 7, 7, 7]","[16, 16, 16, 16, 16]"
amalgam1_to_amalgam3-weighted_distance-1.0,"[0.935, 0.935, 0.935, 0.935, 0.935]","[22, 22, 22, 22, 22]","[226.193223536, 217.376887133, 224.976374227, 216.535720883, 212.795536042]","[0.000893992, 0.000874692, 0.000882292, 0.00085779, 0.000903712]","[1.72326866, 1.5291073769999999, 1.442951822, 1.359919753, 1.339774671]","[213.230735867, 205.084457421, 212.575864393, 204.934490898, 201.447803845]","[8.535759938, 8.415421425, 8.511504707, 8.041569176, 7.841368683]","[0.000595371, 0.000556551, 0.000555753, 0.0005669, 0.00061379]","[25, 25, 25, 25, 25]","[52, 52, 52, 52, 52]"
