index,similarity,path,time,souffle_time,neo4j_time,sim_time,gen_time,automaton_time
dblp_to_amalgam1-random-sources-100-target-100,"[0.9879518072289156, 0.9908958485069191, 0.9879518072289156, 0.976693372177713, 0.9879518072289156]","[22, 22, 22, 21, 22]","[110.110266596, 106.700376851, 108.787589873, 104.958944757, 109.227987411]","[0.001859145, 0.001873234, 0.002009364, 0.00156719, 0.001830382]","[5.054603187, 5.030291731, 4.911371501, 3.938841992, 4.343848753]","[89.977790789, 86.89771212, 89.053067767, 86.293256048, 90.005859427]","[10.973803268, 10.825570673, 10.814082165, 10.800925343, 10.83831438]","[0.000459921, 0.000490902, 0.00048969, 0.000422281, 0.00044079]"
dblp_to_amalgam1-weighted_distance-sources-0-target-0,"[0.912739965095986, 0.912739965095986, 0.912739965095986, 0.912739965095986, 0.912739965095986]","[21, 21, 21, 21, 21]","[30.045941047, 29.903267755, 29.823213631, 29.798621171, 29.853369845]","[0.000492801, 0.000524541, 0.00046483, 0.00046867, 0.000463971]","[0.637634745, 0.660753203, 0.606369692, 0.637366408, 0.616769868]","[27.54081965, 27.441421297, 27.41207435, 27.363866487, 27.429843286]","[1.248998349, 1.256288243, 1.245127521, 1.246607888, 1.2530007890000001]","[0.000473532, 0.00046635, 0.000427481, 0.000428701, 0.000427443]"
dblp_to_amalgam1-weighted_distance-sources-10-target-10,"[0.9234303215926493, 0.9234303215926493, 0.9234303215926493, 0.9234303215926493, 0.9234303215926493]","[21, 21, 21, 21, 21]","[37.644883689, 37.796442739, 38.801851194, 37.69804154, 37.705263305]","[0.000481604, 0.000510915, 0.000487554, 0.000483612, 0.000482162]","[0.90479877, 0.920233236, 0.918190194, 0.875349578, 0.921060834]","[32.679789628, 32.838849721, 33.8688845, 32.090874791, 32.783598987]","[3.025837188, 3.012186891, 2.9560433, 3.707190469, 2.976793204]","[0.000434165, 0.000432413, 0.000514663, 0.000426862, 0.000430733]"
dblp_to_amalgam1-weighted_distance-sources-20-target-20,"[0.931787175989086, 0.931787175989086, 0.931787175989086, 0.931787175989086, 0.931787175989086]","[21, 21, 21, 21, 21]","[45.738059008, 45.765897892, 45.99339065, 45.669669125, 45.703220115]","[0.000539922, 0.000527421, 0.000531251, 0.000553473, 0.000530671]","[1.195825196, 1.20336301, 1.235345687, 1.180931725, 1.193020918]","[39.164996796, 39.107204087, 39.452523054, 38.970969963, 39.088629979]","[3.991871413, 4.097848106, 3.935967211, 4.163284195, 4.071035072]","[0.000432331, 0.000436381, 0.000432961, 0.000456061, 0.000427421]"
dblp_to_amalgam1-weighted_distance-sources-30-target-30,"[0.9384993849938499, 0.9384993849938499, 0.9384993849938499, 0.9384993849938499, 0.9384993849938499]","[21, 21, 21, 21, 21]","[53.900960776, 55.088449539, 54.946505357, 54.854486337, 53.645881534]","[0.000615701, 0.00058247, 0.000592721, 0.00057636, 0.00058704]","[1.470036752, 1.456828784, 1.468199233, 1.464331537, 1.469649528]","[45.935048003, 47.045928667, 46.864374599, 46.773363814, 45.82349985]","[4.792017431, 4.864507973, 4.874531129, 4.882717831, 4.656110611]","[0.000437911, 0.000436661, 0.000423831, 0.000419821, 0.000423192]"
dblp_to_amalgam1-weighted_distance-sources-40-target-40,"[0.9440089585666294, 0.9440089585666294, 0.9440089585666294, 0.9440089585666294, 0.9440089585666294]","[21, 21, 21, 21, 21]","[61.135491957, 60.518903545, 60.212951196, 60.091238624, 60.646612057]","[0.00064996, 0.000659631, 0.000665521, 0.00066836, 0.000670181]","[1.7525825579999998, 1.739160842, 1.777164913, 1.7401022849999999, 1.7369445]","[51.548772104, 50.946715449, 50.737021782, 50.615767536999996, 51.177426489]","[5.773589841, 5.779485058, 5.669350496, 5.685806444, 5.690817642]","[0.000426071, 0.000421271, 0.000432701, 0.000422161, 0.00043133]"
dblp_to_amalgam1-weighted_distance-sources-50-target-50,"[0.9486125385405961, 0.9486125385405961, 0.9486125385405961, 0.9486125385405961, 0.9486125385405961]","[21, 21, 21, 21, 21]","[66.84636472, 66.841933577, 66.454740417, 66.958834144, 66.81273226]","[0.000770774, 0.000765686, 0.000816037, 0.000768205, 0.000766804]","[2.007972845, 2.054191656, 2.006216783, 2.046193614, 2.017700407]","[55.730123605, 55.717515498, 55.439601413, 55.770836611, 55.648490432]","[6.694783536, 6.682637313, 6.625232713, 6.736631744, 6.738348181]","[0.000430841, 0.000430694, 0.000435822, 0.000447222, 0.000427391]"
dblp_to_amalgam1-weighted_distance-sources-60-target-60,"[0.9525166191832859, 0.9525166191832859, 0.9525166191832859, 0.9525166191832859, 0.9525166191832859]","[21, 21, 21, 21, 21]","[74.082187909, 74.312131922, 74.115809664, 73.530020024, 73.617473018]","[0.000874693, 0.000875413, 0.000870131, 0.000835221, 0.00084266]","[3.307110607, 3.312002175, 3.274342984, 3.302887213, 3.323507372]","[60.555588005, 60.708301086, 60.555331711, 60.176872387, 60.318995945]","[7.506601098, 7.575313721, 7.544889983, 7.375791956, 7.331550814]","[0.000436472, 0.000446132, 0.00044169, 0.000423861, 0.000458461]"
dblp_to_amalgam1-weighted_distance-sources-70-target-70,"[0.9558693733451015, 0.9558693733451015, 0.9558693733451015, 0.9558693733451015, 0.9558693733451015]","[21, 21, 21, 21, 21]","[80.505176936, 79.985334469, 80.278761586, 80.002100332, 80.628725998]","[0.000947714, 0.000993841, 0.0009977, 0.000974142, 0.0009502]","[3.590594853, 3.590904763, 3.571291879, 3.599260171, 3.598783167]","[65.657214623, 65.230052294, 65.373952324, 65.165101729, 65.655708519]","[8.290557085, 8.25961561, 8.328388613, 8.260637679, 8.371761946]","[0.00043073, 0.00042923, 0.000434631, 0.00043748, 0.000454247]"
dblp_to_amalgam1-weighted_distance-sources-80-target-80,"[0.9587798845836768, 0.9587798845836768, 0.9587798845836768, 0.9587798845836768, 0.9587798845836768]","[21, 21, 21, 21, 21]","[94.346540576, 92.494482035, 95.94850329, 91.628563553, 95.072454123]","[0.001080013, 0.001099485, 0.00120423, 0.001089244, 0.001075678]","[3.880253416, 3.873893185, 3.892720654, 3.889391577, 3.887357304]","[77.9985089, 76.16912839, 79.153913786, 75.421712038, 78.490504309]","[9.13361046, 9.13799576, 9.445183334, 9.02799743, 9.281562105999999]","[0.000435078, 0.000445445, 0.000444776, 0.000426868, 0.000425398]"
