index,similarity,path,time,souffle_time,neo4j_time,sim_time,gen_time,automaton_time
ibench_huge-greedy-2,"[1, 1, 1, 1, 1]","[24, 24, 24, 24, 24]","[53.803398164, 53.329532984, 53.462951582, 53.664518784, 54.025895111]","[0.000913713, 0.000913703, 0.000929396, 0.000923111, 0.000965269]","[7.989445031, 7.903001083, 8.052990317, 8.110607175, 7.988343262]","[41.886073613, 41.517553846, 41.604071728, 41.682791638, 42.05807338]","[2.260554986, 2.241623715, 2.204777373, 2.303633875, 2.290171121]","[0.00032997, 0.000320792, 0.000323542, 0.000326001, 0.000343492]"
ibench_huge-greedy-4,"[1, 1, 1, 1, 1]","[24, 24, 24, 24, 24]","[59.592415451, 59.641241199, 61.49620264, 63.366685712, 71.452026777]","[0.001058888, 0.000978042, 0.000941174, 0.000935193, 0.000986606]","[14.251020478, 13.93495078, 14.871579192, 15.218731261, 15.689888945]","[41.500772296, 41.861783552, 42.616235458, 43.887840643, 50.743824736]","[2.228064651, 2.21072376, 2.268584274, 2.402556055, 2.849758895]","[0.000345598, 0.000321405, 0.000322906, 0.000329314, 0.00037554]"
ibench_huge-greedy-8,"[1, 1, 1, 1, 1]","[24, 24, 24, 24, 24]","[74.655256706, 77.004684522, 75.271483284, 77.813196037, 79.392652763]","[0.000941281, 0.000941002, 0.00092816, 0.001101929, 0.001228556]","[24.74505682, 25.206498243, 25.732194245, 25.993733637, 26.603237132]","[45.254055207, 47.03256805, 45.115721142, 46.862945104, 47.870846582]","[2.535154554, 2.641400265, 2.4260387740000002, 2.654537494, 2.651113715]","[0.00034415, 0.000351249, 0.000323568, 0.000336484, 0.000470464]"
ibench_huge-greedy-16,"[1, 1, 1, 1, 1]","[24, 24, 24, 24, 24]","[99.116685565, 95.34053551, 94.42151879, 92.18248543, 89.720831463]","[0.001090482, 0.001020156, 0.000949017, 0.000955692, 0.000912779]","[44.826921338, 43.477736898, 44.137721389, 41.932559591, 42.228820201]","[49.329026169, 46.918110785, 45.608592798, 45.760375247, 43.360042271]","[2.725349763, 2.6952201000000002, 2.554013584, 2.532000956, 2.347955648]","[0.000344578, 0.000408865, 0.000337329, 0.000351812, 0.000331625]"
ibench_huge-random-1,"[1, 1, 1, 1, 1]","[24, 24, 24, 24, 24]","[52.940091484999996, 55.748994033, 51.674172536, 52.941084703, 54.559109694]","[0.001330664, 0.00103757, 0.00093671, 0.001062598, 0.000907124]","[5.588648395, 5.607411149, 5.453267553, 5.5723625850000005, 5.569997654]","[43.01182775, 45.400553942, 42.125795455, 43.040241736, 44.266084998]","[2.413390406, 2.548554368, 2.296619145, 2.397666991, 2.5346802999999998]","[0.000486267, 0.000348534, 0.000330073, 0.000369425, 0.000324117]"
ibench_huge-random-2,"[0.9993910877387213, 0.9993910877387213, 1, 0.9994461061260662, 0.9994461061260662]","[23, 23, 24, 23, 23]","[61.805028967, 63.401498156, 62.172142373, 68.477819422, 63.302000503]","[0.001389914, 0.001696955, 0.001880396, 0.001706559, 0.001376205]","[13.425755932, 14.119987879, 11.915342441, 14.05813818, 13.674062086]","[43.922252224, 44.830302418, 45.462727098, 49.06933768, 44.889411292]","[2.428665485, 2.478301846, 2.585374646, 2.875785423, 2.5601474250000003]","[0.000461148, 0.000529379, 0.000676719, 0.00051199, 0.000461061]"
ibench_huge-random-4,"[0.9994461061260662, 0.9988375311375588, 0.9993910877387213, 0.9978411292554664, 0.9994461061260662]","[23, 22, 23, 21, 23]","[73.371817534, 76.772450389, 76.431170399, 82.584019909, 79.498025719]","[0.001374548, 0.001425976, 0.001628371, 0.00149364, 0.001625993]","[25.107804518, 27.928713507, 26.94502614, 29.572885125, 26.219050658]","[43.804074693, 44.501100437, 44.903128891, 48.051869414, 48.197161097]","[2.461751022, 2.4226363859999998, 2.503799942, 2.679950756, 2.7210837249999997]","[0.000440983, 0.000502121, 0.00051283, 0.000561306, 0.000490823]"
ibench_huge-random-8,"[0.9977857735953501, 0.9994461061260662, 0.9987821754774425, 0.9988375311375588, 0.9977857735953501]","[21, 23, 22, 22, 21]","[101.978965697, 87.914216544, 98.234881126, 99.379399644, 99.837875082]","[0.001689507, 0.001396601, 0.001460712, 0.001770636, 0.001469599]","[47.624429685, 36.967178291, 47.36595329, 45.254175332, 48.873395459]","[49.251707448, 46.18117371, 46.196182866, 48.984827133, 46.244248437]","[2.751580992, 2.571898577, 2.565047654, 2.772017294, 2.562099853]","[0.000507222, 0.000445412, 0.000479764, 0.000574384, 0.000503102]"
ibench_huge-random-16,"[0.9972322169941876, 0.9975109242767852, 0.9983393301965126, 0.9972332890659584, 0.9993910877387213]","[20, 21, 22, 20, 23]","[120.457167339, 103.86132516, 124.90628005, 120.770451526, 131.180013019]","[0.001746919, 0.001429936, 0.001444274, 0.001431035, 0.001407919]","[72.048093435, 54.474703435, 72.786335226, 69.440599341, 80.834845317]","[44.123757364, 44.818115614, 47.245959401, 46.606301033, 45.846200291]","[2.414253687, 2.482723898, 2.639714822, 2.603822615, 2.515325946]","[0.00051816, 0.00040901, 0.000479748, 0.000470634, 0.000495642]"
ibench_huge-weighted_distance-1,"[1, 1, 1, 1, 1]","[24, 24, 24, 24, 24]","[55.177892174, 52.918013773, 54.300661157, 57.753680822, 56.134327089]","[0.000961908, 0.001001309, 0.001343647, 0.000937651, 0.000963245]","[5.575550983, 5.47421181, 5.710413471, 5.776469895, 5.787936187]","[44.746540644, 43.091051214, 44.135203292, 46.748343258, 45.370422301]","[2.534263182, 2.383122655, 2.420327051, 2.638187529, 2.554798604]","[0.000319725, 0.000353232, 0.000475387, 0.000339879, 0.000329032]"
