index,similarity,path,time,souffle_time,neo4j_time,sim_time,gen_time,automaton_time,num_dup,num_tot
amalgam1_to_amalgam3-greedy-50,"[1, 1, 1, 1, 1]","[24, 24, 24, 24, 24]","[215.16962198, 214.845306895, 215.519908093, 215.041258433, 210.281152426]","[0.000731081, 0.000752395, 0.000758192, 0.000744699, 0.000731585]","[0.72607323, 0.725158269, 0.711293442, 0.703260192, 0.710371801]","[204.455581075, 204.173969457, 204.795037167, 204.408155654, 199.631049819]","[7.798253824, 7.77997718, 7.847921166, 7.769338867, 7.824185278]","[0.000419041, 0.000435954, 0.000415171, 0.000410691, 0.000452353]","[11, 11, 11, 11, 11]","[24, 24, 24, 24, 24]"
amalgam1_to_amalgam3-greedy-100,"[1, 1, 1, 1, 1]","[24, 24, 24, 24, 24]","[216.113034183, 217.721012866, 210.037988049, 215.826162947, 215.511673442]","[0.000751431, 0.00076645, 0.000899895, 0.000734296, 0.000734634]","[0.681025357, 0.660140052, 0.667180886, 0.66346882, 0.64656013]","[205.400160724, 206.997005322, 199.589040766, 205.150066495, 204.864550888]","[7.850273485, 7.914790324, 7.714342867, 7.833533924, 7.846333071]","[0.000415841, 0.000414911, 0.00042105, 0.000427103, 0.000481463]","[11, 11, 11, 11, 11]","[24, 24, 24, 24, 24]"
amalgam1_to_amalgam3-greedy-200,"[1, 1, 1, 1, 1]","[24, 24, 24, 24, 24]","[208.74885424000001, 217.836030362, 209.288012419, 209.818050522, 208.824802895]","[0.000743193, 0.000746713, 0.000728943, 0.000744452, 0.000904323]","[0.668896115, 0.622929956, 0.651511534, 0.623790869, 0.65051235]","[198.181350063, 207.116648918, 198.763289609, 199.426834192, 198.370684276]","[7.768899082, 7.912525085, 7.764955085, 7.675748892, 7.743682815]","[0.000427362, 0.000406511, 0.000402331, 0.000405561, 0.000410151]","[11, 11, 11, 11, 11]","[24, 24, 24, 24, 24]"
amalgam1_to_amalgam3-greedy-None,"[1, 1, 1, 1, 1]","[24, 24, 24, 24, 24]","[211.579445189, 215.763976647, 214.333629381, 214.425496761, 215.767115162]","[0.000739903, 0.000727111, 0.000763522, 0.000746613, 0.000749372]","[0.631704087, 0.613287398, 0.628615093, 0.633407959, 0.608557816]","[200.918599432, 205.150210516, 203.686563341, 203.765885721, 205.158307737]","[7.883609051, 7.857935189, 7.857140549, 7.870573811, 7.825656849]","[0.000412511, 0.000418901, 0.000407231, 0.000413621, 0.000404151]","[11, 11, 11, 11, 11]","[24, 24, 24, 24, 24]"
amalgam1_to_amalgam3-random-10,"[0.985, 0.985, 0.97, 0.975, 0.98]","[23, 23, 22, 22, 23]","[217.560506905, 217.668685566, 217.881041646, 214.911531207, 209.095076663]","[0.000876513, 0.000853023, 0.000775583, 0.000876383, 0.000817372]","[1.297465098, 1.083794125, 0.740285082, 1.165320459, 0.953667438]","[206.186111382, 206.570203164, 207.146005316, 203.724981828, 198.336129048]","[7.816235036, 7.826645947, 7.840515847, 7.842467575, 7.729112157]","[0.000559302, 0.000517562, 0.000441481, 0.000537931, 0.000493801]","[23, 21, 14, 22, 18]","[48, 44, 30, 46, 38]"
amalgam1_to_amalgam3-random-50,"[0.98, 0.98, 0.995, 1, 0.99]","[22, 22, 23, 24, 23]","[217.869877827, 216.205558509, 210.673989368, 217.254106496, 214.828011391]","[0.000894022, 0.000878913, 0.000837152, 0.000744382, 0.000836072]","[1.206869555, 1.274276797, 0.918765582, 0.62083537, 0.985101782]","[206.691915523, 204.858308912, 199.979788882, 206.742677152, 203.803807514]","[7.802654067, 7.876494036, 7.664382455, 7.740231295, 7.849019834]","[0.000537521, 0.000586472, 0.000489542, 0.000411811, 0.000551291]","[24, 25, 18, 11, 19]","[50, 52, 38, 24, 40]"
amalgam1_to_amalgam3-random-100,"[0.995, 0.99, 0.985, 0.995, 0.98]","[23, 23, 22, 23, 22]","[212.549580027, 215.305970164, 211.186210871, 213.703986759, 215.511394915]","[0.000882451, 0.000853583, 0.000900762, 0.000798072, 0.000867353]","[1.176430645, 1.004413103, 1.206194005, 0.781441566, 1.093902459]","[201.410299409, 204.272456731, 200.064300971, 202.939109446, 204.35711867]","[7.827145692, 7.847441614, 7.794189627, 7.836707282, 7.879765703]","[0.000559481, 0.000512511, 0.000555401, 0.000456141, 0.000524212]","[24, 20, 24, 15, 22]","[50, 42, 50, 32, 46]"
amalgam1_to_amalgam3-random-200,"[0.975, 0.97, 0.985, 0.97, 0.975]","[22, 22, 22, 22, 22]","[217.57524557, 216.56946094, 215.418129233, 216.141042392, 213.397620229]","[0.000807283, 0.000845643, 0.000858573, 0.000866062, 0.000792862]","[0.857986987, 0.95819042, 0.986714372, 1.1321148619999999, 0.76417709]","[206.766912245, 205.601972091, 204.535163967, 204.996140173, 202.722896352]","[7.803516228, 7.833547738, 7.7544506, 7.83891035, 7.777442731]","[0.000500491, 0.000520721, 0.000520411, 0.000609891, 0.000456682]","[17, 20, 20, 23, 15]","[36, 42, 42, 48, 32]"
amalgam1_to_amalgam3-random-None,"[0.98, 0.975, 1, 1, 0.985]","[23, 22, 24, 24, 23]","[210.660877804, 212.156795854, 215.570416928, 215.95844191, 218.354844042]","[0.000889862, 0.000836612, 0.000832192, 0.000755002, 0.000899833]","[1.20117667, 0.88064941, 0.986269715, 0.603369473, 1.233138506]","[199.602851578, 201.316222791, 204.740556968, 205.335127101, 207.035700116]","[7.727359582, 7.834260341, 7.707271071, 7.825633296, 7.8849587450000005]","[0.000561212, 0.000500012, 0.000496722, 0.000410482, 0.000562031]","[25, 18, 19, 11, 25]","[52, 38, 40, 24, 52]"
amalgam1_to_amalgam3-weighted_distance-10,"[0.935, 0.935, 0.935, 0.935, 0.935]","[22, 22, 22, 22, 22]","[208.932554801, 212.210597901, 210.571944299, 211.90587281, 218.755356219]","[0.000875162, 0.000891142, 0.000863332, 0.000874973, 0.000859282]","[1.2199612659999999, 1.192866671, 1.224508945, 1.187664038, 1.236646972]","[198.077388102, 201.163598186, 199.414085994, 200.835060528, 207.434288206]","[7.475993048, 7.716127153, 7.803220693, 7.759456613, 7.8707910420000005]","[0.000568151, 0.000545451, 0.000537733, 0.000559581, 0.000553151]","[25, 25, 25, 25, 25]","[52, 52, 52, 52, 52]"
